timestamp,Values,type
2024-06-26 09:57:38,97,Low
2024-06-26 10:58:56,92,Low
2024-06-26 11:49:32,82,Low
2024-06-26 11:49:49,83,Peak
2024-06-26 12:01:06,78,Low
2024-06-26 12:01:22,79,Peak
2024-06-26 12:55:48,62,Peak
2024-06-26 18:14:03,42,Low
2024-06-27 00:33:20,84,Low
2024-06-27 00:33:37,85,Peak
2024-06-27 03:54:23,76,Low
2024-06-27 03:54:40,77,Peak
2024-06-27 05:04:30,61,Low
2024-06-27 05:04:45,62,Peak
2024-06-27 05:11:40,59,Low
2024-06-27 06:20:42,42,Low
2024-06-27 06:20:57,43,Peak
2024-06-27 06:54:47,38,Low
2024-06-27 06:55:03,39,Peak
2024-06-27 15:26:26,93,Peak
2024-06-27 15:52:33,86,Low
2024-06-27 15:52:50,87,Peak
2024-06-27 20:38:38,73,Low
2024-06-27 20:38:54,74,Peak
2024-06-27 23:03:49,36,Low
2024-06-28 11:30:29,88,Low
2024-06-28 11:30:47,89,Peak
2024-06-28 14:04:12,59,Peak
2024-06-28 14:13:17,57,Peak
2024-06-28 15:45:34,76,Low
2024-06-28 16:27:37,65,Low
2024-06-28 16:34:28,63,Low
2024-06-28 16:34:47,64,Peak
2024-06-28 17:12:59,53,Low
2024-06-28 17:29:10,48,Low
2024-06-28 17:29:11,49,Peak
2024-06-28 17:33:52,47,Low
2024-06-28 17:34:08,48,Peak
2024-06-28 17:47:21,44,Low
2024-06-28 17:58:54,43,Peak
2024-06-28 18:36:34,36,Low
2024-06-28 18:36:50,37,Peak
2024-06-28 22:25:48,97,Low
2024-06-29 05:25:14,81,Low
2024-06-29 05:25:30,82,Peak
2024-06-29 06:47:13,57,Peak
2024-06-29 08:19:37,41,Low
2024-06-29 17:07:55,67,Peak
2024-06-29 17:15:19,64,Low
2024-06-29 20:10:08,75,Low
2024-06-29 22:02:01,48,Peak
2024-06-30 06:06:24,88,Low
2024-06-30 06:06:26,89,Peak
2024-06-30 12:02:26,59,Low
2024-06-30 12:02:43,60,Peak
2024-06-30 12:28:17,49,Peak
2024-06-30 12:59:05,38,Low
2024-06-30 13:19:58,34,Peak
2024-06-30 14:42:45,25,Low
2024-06-30 21:12:48,90,Low
2024-06-30 22:30:04,82,Low
2024-06-30 22:30:21,83,Peak
2024-06-30 23:40:27,67,Low
2024-06-30 23:41:16,67,Low
2024-06-30 23:41:50,67,Low
2024-06-30 23:42:07,68,Peak
2024-07-01 01:29:49,80,Peak
2024-07-01 02:52:50,66,Peak
2024-07-01 04:23:02,48,Peak
2024-07-01 13:06:07,85,Low
2024-07-01 15:24:43,49,Low
2024-07-01 21:27:52,33,Low
2024-07-01 23:42:30,94,Low
2024-07-02 00:18:47,89,Low
2024-07-02 00:19:04,90,Peak
2024-07-02 02:25:16,61,Low
2024-07-02 02:25:49,62,Peak
2024-07-02 04:09:37,76,Peak
2024-07-02 05:05:42,64,Peak
2024-07-02 06:51:01,41,Peak
2024-07-02 15:08:41,93,Low
2024-07-02 15:08:58,94,Peak
2024-07-02 16:22:54,82,Peak
2024-07-02 16:26:46,80,Low
2024-07-02 16:27:04,81,Peak
2024-07-02 17:10:45,70,Low
2024-07-02 17:11:02,71,Peak
2024-07-02 18:18:08,53,Low
2024-07-02 22:09:35,51,Low
2024-07-02 22:09:52,52,Peak
2024-07-02 22:16:44,48,Low
2024-07-02 22:16:59,49,Peak
2024-07-02 23:03:13,36,Low
2024-07-02 23:03:30,37,Peak
2024-07-02 23:18:04,34,Low
2024-07-02 23:18:22,35,Peak
2024-07-02 23:48:57,30,Low
2024-07-03 00:09:09,29,Low
2024-07-03 00:09:26,30,Peak
